fips_code,year,state_name,county_name,state_abb,dem2p_vote_share,rep2p_vote_share,avg_wkly_wage,wage_growth,prop_over_65,rural_urban,prop_college_grad,prop_foreignborn,prop_hispanic,prop_white,prop_black,employ_pop_ratio_25_64,employ_pop_ratio_25_64_change,dem2p_vote_share_2012,Linc2pvs,inc2pvs_change,mortality_risk_25_45,mortality_risk_25_45_change,TrumpMajority
37125,2016,North Carolina,Moore,NC,0.348793685,0.651206315,732,0.056194559,0.238304496,4,0.3417629,0.047072098,0.062168259,0.839955151,0.132170409,0.737494767,0.014265537,0.358793259,0.358793259,-0.009999573,2.854299545,-0.09706831,1
37127,2016,North Carolina,Nash,NC,0.499129713,0.500870287,749,-0.017207572,0.163161516,3,0.19573617,0.042877577,0.065296389,0.565781653,0.411241591,0.824955881,-0.006842136,0.504883707,0.504883707,-0.005753994,3.709292889,0.023801565,1
37129,2016,North Carolina,New Hanover,NC,0.479478002,0.520521998,819,0.061693568,0.157478169,2,0.379258186,0.053139582,0.053476874,0.826800585,0.148198754,0.958233595,0.015998363,0.476848096,0.476848096,0.002629906,2.597768307,-0.026491165,1
37131,2016,North Carolina,Northampton,NC,0.631733477,0.368266493,701,0.058754046,0.228815198,9,0.112775974,0.013670739,0.020021331,0.406674594,0.5834077,0.529089451,0.025906384,0.674964845,0.674964845,-0.043231368,3.965879679,-0.021404505,0
37133,2016,North Carolina,Onslow,NC,0.320539623,0.679460347,660,0.049699668,0.085365131,3,0.195155904,0.040025841,0.117940299,0.786231995,0.173466042,0.553416789,-0.005058706,0.364456624,0.364456624,-0.043917,2.534292459,0.150238037,1
37135,2016,North Carolina,Orange,NC,0.763533354,0.236466631,1010,0.024049256,0.112254754,2,0.57692939,0.127289757,0.082578123,0.779783189,0.127169415,1.016300201,0.050048172,0.714489222,0.714489222,0.049044132,1.989654064,-0.031906366,0
37137,2016,North Carolina,Pamlico,NC,0.36502409,0.63497591,544,0.031748697,0.25775674,3,0.192127749,0.027536457,0.035138071,0.782248616,0.201578245,0.569045782,0.001478195,0.395215034,0.395215034,-0.030190945,3.36789012,0.065418959,1
37139,2016,North Carolina,Pasquotank,NC,0.512942612,0.487057358,701,0.008596041,0.152045906,4,0.188772634,0.040416948,0.046706256,0.595304787,0.380487204,0.76649338,-0.002405763,0.573941171,0.573941171,-0.060998559,2.91981101,-0.114125967,0
37141,2016,North Carolina,Pender,NC,0.346487612,0.653512418,652,0.063312277,0.171492949,2,0.231057629,0.039089393,0.064320952,0.815185845,0.166154474,0.366636783,0.005217493,0.397188216,0.397188216,-0.050700605,3.159540415,-0.081752062,1
37143,2016,North Carolina,Perquimans,NC,0.356980592,0.643019438,639,0.028573373,0.245360062,8,0.174051896,0.023830734,0.024424648,0.749906898,0.239368439,0.307302862,0.011447281,0.419243991,0.419243991,-0.062263399,3.089473724,-0.037779093,1
37145,2016,North Carolina,Person,NC,0.411861777,0.588138223,725,0.065550528,0.173359528,2,0.149025023,0.024721911,0.040948056,0.707812548,0.277753741,0.491583616,0.01089412,0.445050508,0.445050508,-0.03318873,3.502258778,0.086070776,1
37147,2016,North Carolina,Pitt,NC,0.539580286,0.460419685,847,0.082406774,0.11362832,3,0.29458648,0.047250926,0.059234943,0.606788397,0.36287275,0.87552613,0.001354158,0.536067903,0.536067903,0.003512383,3.0297966,-0.004394293,0
37149,2016,North Carolina,Polk,NC,0.355611086,0.644388914,581,0.043982461,0.275093496,8,0.317911983,0.03360559,0.056534145,0.937662184,0.049850643,0.536867619,0.006531715,0.391546726,0.391546726,-0.03593564,2.865418673,-0.055666924,1
37151,2016,North Carolina,Randolph,NC,0.210661992,0.789337993,667,0.047591481,0.161065444,2,0.151185334,0.064374283,0.108480379,0.90323931,0.069409043,0.599294841,0.007142067,0.246479586,0.246479586,-0.035817593,3.156659365,0.104431152,1
37153,2016,North Carolina,Richmond,NC,0.45015353,0.54984647,664,0.057335608,0.160665065,5,0.138090581,0.035265807,0.061168235,0.628712237,0.326696843,0.587794125,0.006673992,0.514888465,0.514888465,-0.064734936,4.332627773,-0.029170036,1
37155,2016,North Carolina,Robeson,NC,0.478019714,0.521980286,627,0.035718083,0.130320415,4,0.126291558,0.047972891,0.083320946,0.320707947,0.248797879,0.575983286,0.000918686,0.587973714,0.587973714,-0.109954,4.846431255,0.078555584,1
37157,2016,North Carolina,Rockingham,NC,0.346514255,0.653485715,693,0.041242957,0.182789609,2,0.138306335,0.033548065,0.058967549,0.788362384,0.197342351,0.54539454,0.011516273,0.393228918,0.393228918,-0.046714664,3.768074274,0.079947948,1
37159,2016,North Carolina,Rowan,NC,0.311846882,0.688153148,853,0.097187676,0.162624195,1,0.176247224,0.045676094,0.080688424,0.808512926,0.171283394,0.640017509,-0.014551699,0.368736058,0.368736058,-0.056889176,3.45565033,0.034365177,1
37161,2016,North Carolina,Rutherford,NC,0.2556988,0.7443012,663,0.088246197,0.195454344,4,0.16728209,0.030074511,0.040179309,0.88210541,0.106266499,0.529217601,0.004613161,0.330901712,0.330901712,-0.075202912,3.904021025,0.082860947,1
37163,2016,North Carolina,Sampson,NC,0.415483594,0.584516406,683,0.076024435,0.161756635,6,0.119238004,0.097311378,0.18249023,0.676972389,0.277733058,0.581332982,0.005724072,0.445059925,0.445059925,-0.029576331,4.142862797,0.233846664,1
37165,2016,North Carolina,Scotland,NC,0.539140224,0.460859746,702,0.061693568,0.159082636,6,0.146867335,0.021870011,0.027358517,0.464113474,0.398893625,0.657377899,-0.001674652,0.584861934,0.584861934,-0.04572171,4.175976276,-0.092887402,0
37167,2016,North Carolina,Stanly,NC,0.244105831,0.755894184,669,0.069633693,0.174971133,6,0.161046535,0.030374525,0.038689986,0.850574911,0.120811433,0.607070923,0.010394394,0.297557503,0.297557503,-0.053451672,3.180223703,0.039960861,1
37169,2016,North Carolina,Stokes,NC,0.214204371,0.785795629,599,0.053140178,0.18870686,2,0.143167347,0.016554367,0.027963748,0.94558847,0.045673445,0.28369087,0.000918716,0.283157051,0.283157051,-0.06895268,2.843500614,0.021262169,1
37171,2016,North Carolina,Surry,NC,0.240338907,0.759661078,653,0.047030609,0.189192906,4,0.152815744,0.052812401,0.099248283,0.940929115,0.044664048,0.774774551,0.005725861,0.313844919,0.313844919,-0.073506013,3.209066629,0.11969471,1
37173,2016,North Carolina,Swain,NC,0.381205499,0.618794501,672,0.087011375,0.187719539,8,0.153349057,0.016931292,0.047281157,0.658137739,0.018115176,1.531515121,0.121943593,0.468004495,0.468004495,-0.086798996,4.518237591,0.009910107,1
37175,2016,North Carolina,Transylvania,NC,0.384011716,0.615988255,639,0.030184977,0.279414445,6,0.296549767,0.040408928,0.030972114,0.944429517,0.043530222,0.583622158,0.019796729,0.414706171,0.414706171,-0.030694455,2.539743423,-0.090142012,1
37177,2016,North Carolina,Tyrrell,NC,0.424746066,0.575253904,569,0.046771113,0.20082365,9,0.082424633,0.058624029,0.102713175,0.589007199,0.379054219,0.591760278,0.036698759,0.473662972,0.473662972,-0.048916906,3.385677099,0.031107664,1
37179,2016,North Carolina,Union,NC,0.339820057,0.660179973,818,0.057877786,0.113159083,1,0.336292744,0.090775408,0.107497677,0.835600793,0.127063647,0.523439467,0.008648932,0.346998692,0.346998692,-0.007178634,2.174729586,-0.070804596,1
37181,2016,North Carolina,Vance,NC,0.625204265,0.374795765,653,0.0615822,0.163408831,4,0.114611059,0.039633323,0.071425363,0.462904602,0.521856546,0.672534704,0.003444493,0.642046034,0.642046034,-0.016841769,4.237847328,-0.176444054,0
37183,2016,North Carolina,Wake,NC,0.606938839,0.393061131,1045,0.061163045,0.100016423,1,0.50070858,0.130112275,0.098940894,0.698790371,0.219154105,0.918992817,0.012108564,0.558106482,0.558106482,0.048832357,1.75635016,-0.010416269,0
37185,2016,North Carolina,Warren,NC,0.666121423,0.333878547,584,0.012058716,0.216689631,8,0.14636004,0.032621533,0.039017908,0.412589878,0.525667429,0.346179426,0.011773646,0.689665556,0.689665556,-0.023544133,3.852712393,-0.026335239,0
37187,2016,North Carolina,Washington,NC,0.57785219,0.422147781,778,0.080256954,0.211709186,7,0.096748061,0.023834281,0.048868272,0.488295406,0.498433888,0.574117899,-0.004146338,0.593838096,0.593838096,-0.015985906,3.431902647,-0.030353785,0
37189,2016,North Carolina,Watauga,NC,0.507917702,0.492082298,674,0.053325657,0.140752673,5,0.389143646,0.029159162,0.034107499,0.960498333,0.021830348,1.002878428,-0.009595633,0.483980626,0.483980626,0.023937076,2.25774169,-0.032881498,0
37191,2016,North Carolina,Wayne,NC,0.441509038,0.558490932,701,0.046723828,0.143619373,3,0.186640471,0.074722573,0.10948436,0.641360581,0.333285123,0.661457598,-0.003675938,0.457522929,0.457522929,-0.016013891,3.371358871,0.044901371,1
37193,2016,North Carolina,Wilkes,NC,0.218434602,0.781565368,671,0.058298714,0.198467076,6,0.137610734,0.041342471,0.059095923,0.938601851,0.050354052,0.619253874,0.020747423,0.284290791,0.284290791,-0.065856189,3.245142221,-0.055790186,1
37195,2016,North Carolina,Wilson,NC,0.528657854,0.471342146,794,0.070433274,0.163875178,4,0.185640275,0.067608461,0.098374113,0.56642884,0.413137168,0.893700719,0.010864675,0.537617087,0.537617087,-0.008959234,3.480961084,-0.201186657,0
37197,2016,North Carolina,Yadkin,NC,0.185437992,0.814562023,646,0.057340547,0.182024911,2,0.121357575,0.051931567,0.106031358,0.949080229,0.038514551,0.518006384,0.017997742,0.239349261,0.239349261,-0.053911269,2.891495466,-0.032159328,1
37199,2016,North Carolina,Yancey,NC,0.333575875,0.666424096,611,0.10154891,0.233308718,8,0.201433852,0.030285811,0.048695948,0.971626401,0.013846328,0.422608882,0.002557456,0.429927528,0.429927528,-0.096351653,3.176976681,0.095581055,1
38001,2016,North Dakota,Adams,ND,0.191966221,0.808033764,733,0.023465535,0.222742766,9,0.275267541,0.019165248,0.008517887,0.958262324,0.010647359,0.872352779,0.031599343,0.26328826,0.26328826,-0.071322039,2.671351194,3.81E-06,1
38003,2016,North Dakota,Barnes,ND,0.335692614,0.664307356,743,0.059615709,0.203843012,6,0.236773863,0.009698179,0.01830871,0.946564198,0.027175404,0.853037179,-0.022893131,0.446769029,0.446769029,-0.111076415,2.428738594,-0.031700134,1
